startstationname,endstationname,value,source,target
Central Park S & 6 Ave,Central Park S & 6 Ave,25190,724,724
Central Park S & 6 Ave,5 Ave & E 88 St,16086,724,822
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,15597,712,712
W 21 St & 6 Ave,9 Ave & W 22 St,14613,528,562
12 Ave & W 40 St,West St & Chambers St,14433,683,350
Centre St & Chambers St,Centre St & Chambers St,14068,308,308
Pershing Square North,W 33 St & 7 Ave,13570,609,588
Pershing Square North,Broadway & W 32 St,13180,609,578
S 4 St & Wythe Ave,N 6 St & Bedford Ave,12935,309,348
Pershing Square North,E 24 St & Park Ave S,12815,609,522
N 6 St & Bedford Ave,S 4 St & Wythe Ave,12191,348,309
N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,11900,348,341
Central Park S & 6 Ave,5 Ave & E 78 St,11864,724,794
West St & Chambers St,12 Ave & W 40 St,11274,350,683
Central Park S & 6 Ave,5 Ave & E 73 St,11255,724,769
Pershing Square North,W 41 St & 8 Ave,11206,609,642
Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave,11156,341,348
DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Hudson Ave,10713,179,183
S 3 St & Bedford Ave,N 6 St & Bedford Ave,10214,306,348
Yankee Ferry Terminal,Yankee Ferry Terminal,10139,167,167
E 30 St & Park Ave S,Pershing Square North,10115,554,609
Pier 40 - Hudson River Park,West St & Chambers St,10092,444,350
McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,9967,497,532
6 Ave & W 33 St,Pershing Square North,9950,580,609
Little West St & 1 Pl,South End Ave & Liberty St,9899,262,300
W 21 St & 6 Ave,W 22 St & 10 Ave,9783,528,568
Centre St & Chambers St,Cadman Plaza E & Tillary St,9693,308,220
South End Ave & Liberty St,Little West St & 1 Pl,9632,300,262
Central Park S & 6 Ave,Central Park West & W 72 St,9538,724,792
Bedford Ave & Nassau Ave,N 8 St & Driggs Ave,9479,404,354
12 Ave & W 40 St,Pier 40 - Hudson River Park,9479,683,444
West St & Chambers St,Little West St & 1 Pl,9379,350,262
5 Ave & E 73 St,5 Ave & E 73 St,9377,769,769
West Thames St,South End Ave & Liberty St,9374,277,300
South End Ave & Liberty St,Bus Slip & State St,9337,300,245
Richardson St & N Henry St,Graham Ave & Conselyea St,9319,362,328
South End Ave & Liberty St,West Thames St,9300,300,277
Yankee Ferry Terminal,Soissons Landing,9300,167,196
E 7 St & Avenue A,Cooper Square & Astor Pl,9269,433,457
Soissons Landing,Yankee Ferry Terminal,9268,196,167
Willoughby St & Fleet St,Adelphi St & Myrtle Ave,9245,194,201
E 24 St & Park Ave S,Pershing Square North,9227,522,609
1 Ave & E 62 St,1 Ave & E 68 St,9214,686,717
Greenwich Ave & Charles St,Greenwich Ave & Charles St,9207,490,490
E 85 St & York Ave,E 85 St & 3 Ave,9176,789,803
Soissons Landing,Soissons Landing,9171,196,196
Old Fulton St,Centre St & Chambers St,9086,249,308
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,9055,532,497
12 Ave & W 40 St,12 Ave & W 40 St,9047,683,683
Central Park West & W 72 St,Central Park West & W 72 St,9026,792,792
W 22 St & 10 Ave,W 22 St & 8 Ave,9022,568,556
Vernon Blvd & 50 Ave,46 Ave & 5 St,8983,532,571
11 Ave & W 41 St,8 Ave & W 33 St,8921,679,604
Central Park West & W 72 St,Central Park S & 6 Ave,8917,792,724
E 7 St & Avenue A,Cooper Square & E 7 St,8825,433,455
Henry St & Grand St,Canal St & Rutgers St,8711,320,321
University Pl & E 8 St,University Pl & E 14 St,8633,470,489
W 20 St & 11 Ave,West St & Chambers St,8611,567,350
W 26 St & 8 Ave,W 27 St & 10 Ave,8600,572,587
Grand Army Plaza & Central Park S,5 Ave & E 88 St,8548,712,822
Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,8479,811,831
West St & Chambers St,West St & Chambers St,8475,350,350
W 26 St & 8 Ave,11 Ave & W 27 St,8459,572,602
South End Ave & Liberty St,Broadway & Battery Pl,8441,300,256
W 41 St & 8 Ave,Pershing Square North,8385,642,609
8 Ave & W 33 St,Pershing Square North,8373,604,609
West St & Chambers St,Pier 40 - Hudson River Park,8331,350,444
Broadway & E 22 St,Pershing Square North,8317,521,609
Cadman Plaza E & Red Cross Pl,Centre St & Chambers St,8310,236,308
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,8271,724,890
W 33 St & 7 Ave,Pershing Square North,8262,588,609
W 42 St & 8 Ave,11 Ave & W 41 St,8064,655,679
46 Ave & 5 St,Vernon Blvd & 50 Ave,8031,571,532
Canal St & Rutgers St,Henry St & Grand St,8026,321,320
Grand Army Plaza & Central Park S,Central Park S & 6 Ave,8018,712,724
W 22 St & 10 Ave,W 21 St & 6 Ave,8014,568,528
West Drive & Prospect Park West,West Drive & Prospect Park West,8013,11,11
Central Park West & W 85 St,Central Park S & 6 Ave,7966,828,724
W 21 St & 6 Ave,W 15 St & 7 Ave,7941,528,515
E 47 St & Park Ave,W 41 St & 8 Ave,7930,635,642
11 Ave & W 27 St,W 26 St & 8 Ave,7925,602,572
Pershing Square North,E 30 St & Park Ave S,7921,609,554
Broadway & E 14 St,Washington Pl & Broadway,7905,488,451
Little West St & 1 Pl,West St & Chambers St,7880,262,350
Graham Ave & Conselyea St,Richardson St & N Henry St,7854,328,362
W 21 St & 6 Ave,W 22 St & 8 Ave,7808,528,556
9 Ave & W 22 St,W 21 St & 6 Ave,7789,562,528
Central Park West & W 72 St,5 Ave & E 73 St,7673,792,769
West St & Chambers St,Christopher St & Greenwich St,7644,350,482
Broadway & E 22 St,E 17 St & Broadway,7638,521,505
W 27 St & 10 Ave,W 26 St & 8 Ave,7616,587,572
E 102 St & 1 Ave,2 Ave & E 96 St,7587,836,825
W 38 St & 8 Ave,Pershing Square North,7583,631,609
Willoughby Ave & Hall St,DeKalb Ave & Hudson Ave,7535,193,183
Little West St & 1 Pl,Vesey Pl & River Terrace,7532,262,329
West St & Chambers St,W 20 St & 11 Ave,7489,350,567
W 26 St & 10 Ave,W 26 St & 8 Ave,7453,584,572
Pershing Square North,Broadway & E 22 St,7453,609,521
Christopher St & Greenwich St,West St & Chambers St,7423,482,350
E 32 St & Park Ave,2 Ave & E 31 St,7422,563,539
Milton St & Franklin St,Kent Ave & N 7 St,7409,452,376
Broadway & Battery Pl,South End Ave & Liberty St,7406,256,300
E 10 St & Avenue A,Lafayette St & E 8 St,7367,441,462
Pershing Square North,E 32 St & Park Ave,7359,609,563
W 20 St & 11 Ave,W 20 St & 8 Ave,7337,567,546
Broadway & W 60 St,Broadway & W 60 St,7335,746,746
5 Ave & E 88 St,Central Park North & Adam Clayton Powell Blvd,7259,822,890
W 20 St & 11 Ave,W 21 St & 6 Ave,7248,567,528
Grand Army Plaza & Central Park S,5 Ave & E 78 St,7226,712,794
E 10 St & Avenue A,Broadway & E 14 St,7207,441,488
W 21 St & 6 Ave,W 20 St & 11 Ave,7206,528,567
Adelphi St & Myrtle Ave,DeKalb Ave & Hudson Ave,7173,201,183
W 22 St & 8 Ave,W 20 St & 11 Ave,7169,556,567
Clinton Ave & Myrtle Ave,Willoughby St & Fleet St,7145,202,194
Willoughby St & Fleet St,Clinton Ave & Myrtle Ave,7139,194,202
Graham Ave & Conselyea St,Driggs Ave & N Henry St,7113,328,406
E 32 St & Park Ave,Pershing Square North,7108,563,609
Central Park West & W 76 St,Central Park S & 6 Ave,7104,809,724
Adelphi St & Myrtle Ave,Willoughby St & Fleet St,7078,201,194
Norfolk St & Broome St,Henry St & Grand St,7045,344,320
Berry St & N 8 St,Banker St & Meserole Ave,7012,361,432
Grand Army Plaza & Central Park S,5 Ave & E 73 St,6999,712,769
Pershing Square North,W 31 St & 7 Ave,6951,609,581
Pier 40 - Hudson River Park,Little West St & 1 Pl,6927,444,262
W 31 St & 7 Ave,Pershing Square North,6918,581,609
West St & Chambers St,Centre St & Chambers St,6909,350,308
E 13 St & Avenue A,Broadway & E 14 St,6909,459,488
South St & Gouverneur Ln,South St & Whitehall St,6890,252,241
Pershing Square North,8 Ave & W 33 St,6847,609,604
Pier 40 - Hudson River Park,South End Ave & Liberty St,6843,444,300
11 Ave & W 41 St,W 42 St & 8 Ave,6839,679,655
Washington St & Gansevoort St,West St & Chambers St,6818,514,350
E 33 St & 2 Ave,W 33 St & 7 Ave,6803,551,588
N 8 St & Driggs Ave,Bedford Ave & Nassau Ave,6747,354,404
E 85 St & 3 Ave,E 85 St & York Ave,6744,803,789
Broadway & E 14 St,E 10 St & Avenue A,6693,488,441
Broadway & E 22 St,E 23 St & 1 Ave,6631,521,503
DeKalb Ave & S Portland Ave,DeKalb Ave & Hudson Ave,6590,182,183
Kent Ave & N 7 St,Milton St & Franklin St,6556,376,452
Cadman Plaza E & Tillary St,Centre St & Chambers St,6518,220,308
5 Ave & E 73 St,Central Park West & W 72 St,6513,769,792
Broadway & W 36 St,Pershing Square North,6490,596,609
West Thames St,Vesey Pl & River Terrace,6488,277,329
E 32 St & Park Ave,1 Ave & E 30 St,6473,563,526
W 22 St & 8 Ave,W 22 St & 10 Ave,6435,556,568
Atlantic Ave & Furman St,Old Fulton St,6420,191,249
Grand Army Plaza & Central Park S,Central Park West & W 72 St,6407,712,792
9 Ave & W 45 St,8 Ave & W 33 St,6395,678,604
Pier 40 - Hudson River Park,12 Ave & W 40 St,6390,444,683
Bus Slip & State St,South End Ave & Liberty St,6379,245,300
South End Ave & Liberty St,West St & Chambers St,6308,300,350
8 Ave & W 52 St,W 53 St & 10 Ave,6298,708,729
Greenwich St & W Houston St,West St & Chambers St,6296,450,350
E 47 St & Park Ave,W 49 St & 8 Ave,6260,635,692
Henry St & Grand St,Norfolk St & Broome St,6250,320,344
5 Ave & E 73 St,5 Ave & E 88 St,6233,769,822
West St & Chambers St,Washington St & Gansevoort St,6174,350,514
W 20 St & 11 Ave,W 20 St & 7 Ave,6168,567,535
Central Park North & Adam Clayton Powell Blvd,Central Park S & 6 Ave,6149,890,724
6 Ave & Canal St,Barclay St & Church St,6140,399,311
E 48 St & 5 Ave,W 49 St & 8 Ave,6137,653,692
E 33 St & 5 Ave,Pershing Square North,6137,573,609
Broadway & W 41 St,Pershing Square North,6127,636,609
5 Ave & E 78 St,5 Ave & E 78 St,6115,794,794
E 17 St & Broadway,1 Ave & E 18 St,6109,505,485
Broadway & W 29 St,Broadway & E 22 St,6107,564,521
46 Ave & 5 St,45 Rd & 11 St,6074,571,569
Driggs Ave & Lorimer St,N 8 St & Driggs Ave,6073,391,354
E 32 St & Park Ave,E 33 St & 2 Ave,6069,563,551
Clark St & Henry St,Henry St & Atlantic Ave,6057,226,188
Grand Army Plaza & Central Park S,Broadway & W 60 St,6048,712,746
Carmine St & 6 Ave,W 21 St & 6 Ave,6036,466,528
Vesey Pl & River Terrace,Little West St & 1 Pl,6033,329,262
1 Ave & E 68 St,1 Ave & E 78 St,6028,717,760
Central Park West & W 72 St,Grand Army Plaza & Central Park S,6022,792,712
Pershing Square North,E 33 St & 5 Ave,5979,609,573
Pershing Square North,E 17 St & Broadway,5979,609,505
Columbus Ave & W 72 St,W 63 St & Broadway,5977,798,763
Berry St & N 8 St,Milton St & Franklin St,5965,361,452
Carmine St & 6 Ave,Barrow St & Hudson St,5963,466,472
Central Park West & W 68 St,Central Park West & W 68 St,5963,773,773
E 17 St & Broadway,Pershing Square North,5963,505,609
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,5938,800,801
Barclay St & Church St,6 Ave & Canal St,5902,311,399
Milton St & Franklin St,Berry St & N 8 St,5887,452,361
W 41 St & 8 Ave,11 Ave & W 41 St,5868,642,679
Banker St & Meserole Ave,Berry St & N 8 St,5867,432,361
Broadway & Berry St,N 6 St & Bedford Ave,5864,290,348
Old Fulton St,Old Fulton St,5857,249,249
West St & Chambers St,South End Ave & Liberty St,5850,350,300
E 11 St & 1 Ave,Broadway & E 14 St,5847,458,488
E 47 St & Park Ave,W 33 St & 7 Ave,5807,635,588
W 22 St & 10 Ave,Broadway & E 22 St,5806,568,521
Lafayette St & E 8 St,E 10 St & Avenue A,5800,462,441
W 20 St & 11 Ave,8 Ave & W 31 St,5800,567,592
Central Park West & W 85 St,Central Park West & W 85 St,5790,828,828
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,5786,811,821
45 Rd & 11 St,46 Ave & 5 St,5772,569,571
W 25 St & 6 Ave,Pershing Square North,5771,550,609
South End Ave & Liberty St,South End Ave & Liberty St,5760,300,300
